,cnpj,faturamento,funcionarios,total_protesto,valor_protesto
251,02.202.565/0001-87,de 4.800.000 até 10.000.000,de 50 até 100,0,-
252,00.713.282/0001-74,de 10.000.000 até 30.000.000,de 100 até 500,0,-
253,00.374.121/0001-01,de 100.000.000 até 300.000.000,de 100 até 500,0,-
254,17.778.031/0001-70,de 1.500.000 até 4.800.000,de 10 até 50,0,-
255,06.078.921/0001-53,de 10.000.000 até 30.000.000,de 50 até 100,36,"510.512,14"
256,79.674.297/0001-20,de 30.000.000 até 100.000.000,de 100 até 500,0,-
257,08.483.483/0001-34,de 1.500.000 até 4.800.000,de 10 até 50,0,-
258,03.858.100/0001-41,de 30.000.000 até 100.000.000,de 100 até 500,0,-
259,85.356.574/0001-50,de 30.000.000 até 100.000.000,de 100 até 500,0,-
260,05.908.583/0001-77,de 10.000.000 até 30.000.000,de 50 até 100,167,"731.993,43"
261,84.228.261/0001-53,de 10.000.000 até 30.000.000,de 100 até 500,18,"5.318.703,60"
262,03.675.453/0001-06,de 10.000.000 até 30.000.000,de 100 até 500,0,-
263,04.470.242/0001-08,de 10.000.000 até 30.000.000,de 100 até 500,0,-
264,05.082.188/0001-88,de 100.000.000 até 300.000.000,de 100 até 500,0,-
265,73.591.588/0001-79,de 30.000.000 até 100.000.000,de 100 até 500,0,-
266,80.469.166/0001-90,de 30.000.000 até 100.000.000,de 100 até 500,15,"123.410,69"
267,01.066.048/0001-65,de 1.500.000 até 4.800.000,de 10 até 50,0,-
268,83.093.021/0001-26,de 30.000.000 até 100.000.000,de 100 até 500,0,-
269,05.010.190/0001-41,de 100.000.000 até 300.000.000,acima de 500,0,-
270,11.892.859/0001-79,de 10.000.000 até 30.000.000,de 100 até 500,202,"1.345.659,87"
271,81.364.879/0001-52,de 30.000.000 até 100.000.000,de 10 até 50,0,-
272,09.544.299/0001-10,de 4.800.000 até 10.000.000,de 50 até 100,0,-
273,11.991.736/0001-95,de 4.800.000 até 10.000.000,de 50 até 100,0,-
274,04.732.235/0001-29,de 30.000.000 até 100.000.000,de 50 até 100,0,-
275,81.374.332/0001-38,de 10.000.000 até 30.000.000,de 100 até 500,0,-
276,08.934.728/0001-00,de 1.500.000 até 4.800.000,de 100 até 500,56,"7.869.954,60"
277,88.874.011/0001-41,de 10.000.000 até 30.000.000,de 50 até 100,259,"1.799.667,80"
278,89.938.500/0001-82,de 100.000.000 até 300.000.000,acima de 500,172,"1.894.666,03"
279,08.775.142/0001-32,de 100.000.000 até 300.000.000,de 100 até 500,0,-
